gender,age,number_of_dependents,number_of_referrals,tenure_in_months,offer,internet_service,internet_type,avg_monthly_gb_download,payment_method,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,churn_value,avg_monthly_spending,revenue_minus_refunds,contract_length_months,has_streaming,has_phone_service,has_multiple_lines,has_online_security,has_online_backup,has_device_protection_plan,has_premium_tech_support,has_streaming_tv,has_streaming_movies,has_streaming_music,has_unlimited_data,has_paperless_billing,num_services
Female,37,0,2,9,,Yes,Cable,16,Credit Card,65.6,593.3,0.0,0,381.51,974.81,0,65.92222222222222,974.81,12,True,1,0,0,1,0,1,1,0,0,1,1,5
Male,46,0,0,9,,Yes,Cable,10,Credit Card,59.9,542.4,38.33,10,96.21,610.28,0,60.266666666666666,571.9499999999999,1,True,1,1,0,0,0,0,0,1,1,0,0,4
Male,50,0,0,4,Offer E,Yes,Fiber Optic,30,Bank Withdrawal,73.9,280.85,0.0,0,134.6,415.45000000000005,1,70.2125,415.45000000000005,1,False,1,0,0,0,1,0,0,0,0,1,1,3
Male,78,0,1,13,Offer D,Yes,Fiber Optic,4,Bank Withdrawal,98.0,1237.85,0.0,0,361.66,1599.51,1,95.21923076923076,1599.51,1,True,1,0,0,1,1,0,1,1,0,1,1,6
Female,75,0,3,3,,Yes,Fiber Optic,11,Credit Card,83.9,267.4,0.0,0,22.14,289.53999999999996,1,89.13333333333333,289.53999999999996,1,True,1,0,0,0,0,1,1,0,0,1,1,4
Female,23,3,0,9,Offer E,Yes,Cable,73,Credit Card,69.4,571.45,0.0,0,150.93,722.3800000000001,0,63.49444444444445,722.3800000000001,1,True,1,0,0,0,0,1,1,1,1,1,1,6
Female,67,0,1,71,Offer A,Yes,Fiber Optic,14,Bank Withdrawal,109.7,7904.25,0.0,0,707.1600000000001,8611.41,0,111.3274647887324,8611.41,24,True,1,0,1,1,1,1,1,1,1,1,1,9
Male,52,0,8,63,Offer B,Yes,Fiber Optic,7,Credit Card,84.65,5377.8,0.0,20,816.48,6214.280000000001,0,85.36190476190477,6214.280000000001,24,False,1,1,1,0,0,1,0,0,0,0,1,4
Female,68,0,0,7,Offer E,Yes,DSL,21,Bank Withdrawal,48.2,340.35,0.0,0,73.71,414.06,0,48.621428571428574,414.06,24,False,1,0,1,0,0,0,0,0,0,1,1,3
Female,43,1,3,65,,Yes,Cable,14,Credit Card,90.45,5957.9,0.0,0,1849.9,7807.799999999999,0,91.66,7807.799999999999,24,True,1,1,1,1,1,1,1,1,1,1,1,9
Male,47,0,0,54,,Yes,Cable,10,Credit Card,45.2,2460.55,0.0,0,0.0,2460.55,0,45.56574074074074,2460.55,24,True,0,0,1,0,0,1,1,0,0,1,0,4
Female,25,2,2,72,,Yes,Fiber Optic,59,Credit Card,116.8,8456.75,0.0,0,1152.72,9609.47,0,117.45486111111111,9609.47,24,True,1,1,1,1,1,1,1,1,1,1,1,9
Female,58,0,0,5,,Yes,Fiber Optic,10,Bank Withdrawal,68.95,351.5,0.0,0,93.25,444.75,0,70.3,444.75,1,False,1,0,0,0,0,0,0,0,0,1,1,2
Female,32,0,0,72,Offer A,Yes,Fiber Optic,16,Bank Withdrawal,101.3,7261.25,0.0,0,162.0,7423.25,0,100.85069444444444,7423.25,24,True,1,1,1,1,1,0,1,0,0,1,1,6
Female,39,0,0,56,,Yes,DSL,19,Bank Withdrawal,45.05,2560.1,0.0,0,0.0,2560.1,0,45.716071428571425,2560.1,24,False,0,0,1,1,1,1,0,0,0,1,0,5
Female,58,2,9,71,Offer A,Yes,Fiber Optic,12,Credit Card,95.75,6849.4,0.0,0,1935.46,8784.86,0,96.47042253521126,8784.86,24,True,1,1,0,1,1,0,0,1,1,1,1,6
Female,52,1,0,34,,Yes,DSL,20,Credit Card,61.25,1993.2,0.0,0,0.0,1993.2,0,58.62352941176471,1993.2,12,True,0,0,1,0,1,1,1,1,1,1,0,7
Female,72,0,0,1,Offer E,Yes,Fiber Optic,22,Bank Withdrawal,72.1,72.1,0.0,0,7.77,79.86999999999999,0,72.1,79.86999999999999,12,False,1,1,0,0,0,0,0,0,0,1,1,2
Male,79,0,0,45,,Yes,DSL,17,Credit Card,62.7,2791.5,0.0,0,480.15,3271.65,1,62.03333333333333,3271.65,12,True,1,0,1,0,1,0,0,1,0,1,0,5
Male,67,0,0,1,,Yes,Cable,9,Bank Withdrawal,25.1,25.1,0.0,0,0.0,25.1,1,25.1,25.1,1,False,0,0,0,0,0,0,0,0,0,1,1,1
Female,79,0,0,50,,No,,0,Bank Withdrawal,25.2,1306.3,0.0,0,1571.5,2877.8,0,26.125999999999998,2877.8,12,False,1,1,0,0,0,0,0,0,0,0,0,1
Female,26,0,1,13,,Yes,Fiber Optic,52,Bank Withdrawal,94.1,1215.6,0.0,0,566.28,1781.8799999999999,1,93.5076923076923,1781.8799999999999,1,True,1,1,0,1,1,0,1,0,0,1,0,5
Female,30,2,1,23,Offer D,Yes,Fiber Optic,30,Bank Withdrawal,83.75,1849.95,0.0,0,802.93,2652.88,0,80.43260869565218,2652.88,1,True,1,1,0,0,0,0,1,0,0,1,1,3
Female,22,0,0,3,,No,,0,Credit Card,19.85,57.2,0.0,0,9.36,66.56,0,19.066666666666666,66.56,1,False,1,0,0,0,0,0,0,0,0,0,0,1
Female,34,0,0,4,Offer E,No,,0,Credit Card,20.35,76.35,0.0,0,49.72,126.07,1,19.0875,126.07,1,False,1,0,0,0,0,0,0,0,0,0,0,1
Female,37,1,1,1,,Yes,DSL,19,Bank Withdrawal,30.5,30.5,0.0,0,0.0,30.5,1,30.5,30.5,1,False,0,0,1,0,0,0,0,0,0,1,0,2
Female,37,3,10,55,,Yes,Fiber Optic,57,Bank Withdrawal,103.7,5656.75,0.0,20,1927.2,7603.95,0,102.85,7603.95,12,True,1,0,0,1,1,1,1,1,1,0,1,8
